decision,reason,note,year,type,publisher,doi,title
excl_i,(i) no radar-derived measurement in title/abstract,,2026,article,Institute of Electrical and Electronics Engineers,10.1109/mwc.2026.3672360,"Toward Multi-Functional LAWNs With ISAC: Opportunities, Challenges, and the Road Ahead"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,article,Multidisciplinary Digital Publishing Institute,10.3390/rs18030519,Promptable Foundation Models for SAR Remote Sensing: Adapting the Segment Anything Model for Snow Avalanche Segmentation
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,article,Institute of Electrical and Electronics Engineers,10.1109/jstars.2026.3652404,SAR-W-MixMAE: Polarization-Aware Self-Supervised Pretraining for Masked Autoencoders on SAR Data
excl_i,"(i) radar supplies supervision, not model input: the VLM consumes camera imagery and radar provides the metric labels",,2026,preprint,Cornell University,,STAR-VLM: Spatiotemporal Grounding Vision-Language Models for Motion and Velocity Estimation via Automotive Radar Supervision
excl_i,"(i) radar supplies supervision, not model input: the VLM consumes camera imagery and radar provides the metric labels",,2026,preprint,Cornell University,10.48550/arxiv.2608.01535,STAR-VLM: Spatiotemporal Grounding Vision-Language Models for Motion and Velocity Estimation via Automotive Radar Supervision
excl_i,"(i) mmWave/THz channel gains are a communication observable, not a radar measurement (Sec. I-A)",,2026,preprint,Cornell University,10.48550/arxiv.2608.30836,Channel Gains to Captions: Task-Unified Multi-Level RF Sensing with Vision-Language Models
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,conference-paper,,10.1109/icassp55912.2026.11460427,OiLSAM2: Memory-Augmented SAM2 for Scalable SAR Oil Spill Detection
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,review,Institute of Electrical and Electronics Engineers,10.1109/jstars.2026.3682953,Recent Advancements in Deep Learning for SAR-to-Optical Image Translation: A Systematic Literature Review (2021–2025)
excl_i,(i) millimetre-wave filter design; no radar measurement,,2026,article,IEEE Microwave Theory and Techniques Society,10.1109/tmtt.2026.3680218,Inverse Design of Substrate-Parameterized Millimeter-Wave Filters for RF Chiplet Integration Assisted by Large Language Model
excl_i,(i) no radar-derived measurement in title/abstract,,2026,article,Institute of Electrical and Electronics Engineers,10.1109/tvt.2026.3718057,Large Language Model-Empowered User Association and Secure Beamforming for Multi-Cell ISAC Networks
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,,10.22541/au.177145191.12506749/v1,ISAC Meets LLMs: Advancing from Sensing to Reasoning with Foundation Models and Flexible Intelligent Metasurfaces
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,conference-paper,,10.1109/cscwd68734.2026.11582809,Radar Algorithm Generation System Based on Domain-Adaptive Retrieval-Augmented Generation
excl_i,(i) no radar-derived measurement in title/abstract,,2026,article,Institute of Electrical and Electronics Engineers,10.1109/mnet.2026.3661282,Large Language Model Aided Integrated Sensing and Communication for Low-Altitude Economy
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,,Graph-Enhanced LLM for SWAN-ISAC
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,10.48550/arxiv.2604.10256,Graph-Enhanced LLM for SWAN-ISAC
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,,Out-of-Distribution Detection in Wireless Multimodal Foundation Models for 6G ISAC
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,10.48550/arxiv.2607.21455,Out-of-Distribution Detection in Wireless Multimodal Foundation Models for 6G ISAC
excl_i,"(i) communication/network measurand, not a radar measurement",,2026,conference-paper,,10.1109/icccas70754.2026.11672334,LLM-Driven Agent for Adaptive Multimodal Beam Prediction in Millimeter-Wave Communications
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2602.12892,RADAR: Revealing Asymmetric Development of Abilities in MLLM Pre-training
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,RADAR: Revealing Asymmetric Development of Abilities in MLLM Pre-training
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,,From Intent to Infrastructure: LLM-Driven Agent Compilers for ISAC Networks
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,10.48550/arxiv.2607.16269,From Intent to Infrastructure: LLM-Driven Agent Compilers for ISAC Networks
excl_i,"(i) communication/network measurand, not a radar measurement",,2026,conference-paper,,10.1109/icc59461.2026.11587183,CTMap: LLM-Enabled Connectivity-Aware Path Planning in Millimeter-Wave Digital Twin Networks
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,other,Lund University,,After the Storm: Foundation Models and Classical Baselines for SAR-based Windthrow Detection
excl_i,(i) no radar-derived measurement in title/abstract,,2026,conference-paper,,10.1109/ccai69603.2026.11641917,LLM-Driven Resource Optimization for Multi-Cell Secure ISAC Systems
excl_i,(i) no radar-derived measurement in title/abstract,,2026,article,Institute of Electrical and Electronics Engineers,10.1109/mwc.2026.3715563,Semantic-Driven Asynchronous Channel Prediction and Reconstruction with Edge LLMs for RIS-Assisted ISAC Systems
excl_i,(i) link selection for distributed inference; a communication measurand,,2026,conference-paper,,10.1109/infocom59046.2026.11571328,Prediction-Aware Link Selection for Distributed LLM Inference in Dynamic mmWave Environments
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2608.04130,Radar4D-VLM: Proposal-Grounded Temporal 4D Radar Reasoning Across Frozen Language Models
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2601.01213,Promptable Foundation Models for SAR Remote Sensing: Adapting the Segment Anything Model for Snow Avalanche Segmentation
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,Radar4D-VLM: Proposal-Grounded Temporal 4D Radar Reasoning Across Frozen Language Models
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,Promptable Foundation Models for SAR Remote Sensing: Adapting the Segment Anything Model for Snow Avalanche Segmentation
excl_i,(i) no radar-derived measurement in title/abstract,,2026,conference-paper,University of Bristol,,LLM-Orchestrated Optical-Fibre ISAC Platform for Sensing-Event Monitoring and Selective Network Response
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2602.21951,RADAR: Reasoning as Discrimination with Aligned Representations for LLM-based Knowledge Graph Reasoning
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,RADAR: Reasoning as Discrimination with Aligned Representations for LLM-based Knowledge Graph Reasoning
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2608.01810,RADAR: Rubric-Aware Dependency and Redundancy Analysis for LLM-as-Judge Evaluation
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,RADAR: Rubric-Aware Dependency and Redundancy Analysis for LLM-as-Judge Evaluation
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,article,European Organization for Nuclear Research,10.5281/zenodo.19437951,A Comparative Deep Learning Approach to Battle Damage Detection with Foundation Model Architectures and Open Access Sentinel-1 SAR Data
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,article,European Organization for Nuclear Research,10.5281/zenodo.19437950,A Comparative Deep Learning Approach to Battle Damage Detection with Foundation Model Architectures and Open Access Sentinel-1 SAR Data
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,conference-paper,,10.1109/agro-geoinformatics70621.2026.11667499,Benchmarking Geospatial Foundation Models for Field-Scale Crop Green-Up Detection: Alphaearth vs. Prithvi-EO-2.0 with Sentinel-1 SAR Fusion
excl_i,"(i) communication/network measurand, not a radar measurement",,2026,conference-paper,,10.1109/icc59461.2026.11586791,MMSense: Adapting Vision-based Foundation Model for Multi-task Multi-modal Wireless Sensing
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,10.48550/arxiv.2608.25803,Generative AI-Enabled Mission-Aware Radio Orchestration for RIS-Assisted LEO Satellite ISAC Systems
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,10.48550/arxiv.2604.10372,LLM-enabled Antenna Partitioning and Beamforming Optimization for Segmented Pinching
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,other,,10.48448/mqx6-jq56,RADAR: A Reasoning-Guided Attribution Framework for Explainable Visual Data Analysis
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,,LLM-enabled Antenna Partitioning and Beamforming Optimization for Segmented Pinching
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,conference-paper,,10.1117/12.3100679,Design and empirical research of simulation algorithms for business decision support with BERT and ISAC integration
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,SAR2Agri: Learning SAR Intensity Representations for Agricultural Monitoring
excl_i,"(i) communication/network measurand, not a radar measurement",,2026,preprint,Cornell University,,"Enwar 3.0: An Agentic Multi-Modal LLM Orchestrator for Situation-Aware Beamforming, Blockage Prediction, and Handover Management"
excl_i,"(i) communication/network measurand, not a radar measurement",,2026,other,University of Southampton,10.48550/arxiv.2605.03215,"Enwar 3.0: An Agentic Multi-Modal LLM Orchestrator for Situation-Aware Beamforming, Blockage Prediction, and Handover Management"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2603.10231,OilSAM2: Memory-Augmented SAM2 for Scalable SAR Oil Spill Detection
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,OilSAM2: Memory-Augmented SAM2 for Scalable SAR Oil Spill Detection
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2605.23028,RADAR: Relative Angular Divergence Across Representations
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,RADAR: Relative Angular Divergence Across Representations
excl_i,"(i) sensor-transparency dashboard study; 'radar' names the display, not a measurement",,2026,preprint,,10.20944/preprints202607.0345.v1,Beyond the Blind Spot: A Transparency-First Approach to AI Sound-Vision Radar
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,RADAR: Redundancy-Aware Diffusion for Multi-Agent Communication Structure Generation
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2605.09907,RADAR: Redundancy-Aware Diffusion for Multi-Agent Communication Structure Generation
excl_i,"(i) input is geostationary satellite radiance; ground radar precipitation is the estimand, not the input",,2026,preprint,Cornell University,,LangRetrieval: Language-Guided Self-Evolving Satellite-to-Radar Retrieval via CSI-Driven Reward
excl_i,"(i) input is geostationary satellite radiance; ground radar precipitation is the estimand, not the input",,2026,preprint,Cornell University,10.48550/arxiv.2606.09486,LangRetrieval: Language-Guided Self-Evolving Satellite-to-Radar Retrieval via CSI-Driven Reward
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,RADAR: Retrieval-Augmented Detector with Adversarial Refinement for Robust Fake News Detection
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2601.03981,RADAR: Retrieval-Augmented Detector with Adversarial Refinement for Robust Fake News Detection
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,RADAR: Closed-Loop Robotic Data Generation via Semantic Planning and Autonomous Causal Environment Reset
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2603.11811,RADAR: Closed-Loop Robotic Data Generation via Semantic Planning and Autonomous Causal Environment Reset
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,RELX Group (Netherlands),10.2139/ssrn.7117561,"Block-Level Avocado Yield Forecasting from Two-Year Lagged Sentinel-1, Sentinel-2, and Climate Predictors Using Gradient Boosting and Tabular Foundation Models"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,RELX Group (Netherlands),10.2139/ssrn.7226942,"Block-Level Avocado Yield Forecasting from Two-Year Lagged Sentinel-1, Sentinel-2, and Climate Predictors Using Gradient Boosting and Tabular Foundation Models"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,conference-paper,,10.1145/3805712.3808379,T-RADAR: Simulating Trademark Examination as an Interactive Retrieval Interface for Conflict Risk Assessment
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,,"Automating Low-Risk Code Review at Meta: RADAR, Risk Calibration, and Review Efficiency"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,preprint,Cornell University,10.48550/arxiv.2605.30208,"Automating Low-Risk Code Review at Meta: RADAR, Risk Calibration, and Review Efficiency"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,article,Elsevier BV,10.1093/ejhf/xuag193.486,"Real-world algorithm development and analysis for recognition of advanced heart failure (RADAR-HF): a multicenter, electronic health record study"
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,10.48550/arxiv.2608.05792,When Agentic AI Meets Integrated Sensing and Communication
excl_i,(i) no radar-derived measurement in title/abstract,,2026,preprint,Cornell University,,When Agentic AI Meets Integrated Sensing and Communication
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,review,Taylor & Francis,10.1080/10106049.2026.2690363,Crop mapping using sentinel-1 and sentinel-2 imagery: a systematic review of machine learning classification methods (2015–2025)
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2026,review,Figshare (United Kingdom),10.6084/m9.figshare.32774479.v1,Crop mapping using sentinel-1 and sentinel-2 imagery: a systematic review of machine learning classification methods (2015–2025)
excl_i,(i) no radar-derived measurement in title/abstract,,2025,article,Institute of Electrical and Electronics Engineers,10.1109/lwc.2025.3529082,Large Language Model Based Multi-Objective Optimization for Integrated Sensing and Communications in UAV Networks
excl_i,"(i) communication/network measurand, not a radar measurement",,2025,article,IEEE Communications Society,10.1109/ojcoms.2025.3606812,Joint User Association and Beamforming Design for ISAC Networks With Large Language Models
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,conference-paper,,10.1109/igarss55030.2025.11242542,SAR-W-MixMAE: SAR Foundation Model Training Using Backscatter Power Weighting
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,article,Elsevier BV,10.1016/j.aap.2025.108041,Collision risk prediction and takeover requirements assessment based on radar-video integrated sensors data: A system framework based on LLM
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,article,Multidisciplinary Digital Publishing Institute,10.3390/s25164991,"Deep Learning-Based Fusion of Optical, Radar, and LiDAR Data for Advancing Land Monitoring"
excl_i,(i) no radar-derived measurement in title/abstract,,2025,article,Institute of Electrical and Electronics Engineers,10.1109/jsac.2025.3641581,Channel-Agnostic Predictive Beamforming for Crowdsourced Bistatic Satellite ISAC With LLM
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,article,Nature Portfolio,10.1038/s41598-025-26816-1,Hybrid learning framework for synergistic fusion of SAR and optical UAV data in wildfire surveillance
excl_i,(i) no radar-derived measurement in title/abstract,,2025,article,Institute of Electrical and Electronics Engineers,10.1109/jsac.2025.3643394,LLM in V2I: A Data-Driven Predictive Beamforming Framework for Vehicle Tracking in Near-Field ISAC Systems
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,conference-paper,,10.18653/v1/2025.acl-long.1279,RADAR: Enhancing Radiology Report Generation with Supplementary Knowledge Injection
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,article,Institute of Electrical and Electronics Engineers,10.1109/jstars.2025.3587896,A Fine Agricultural Flood Segmentation Model for HJ-2E S-Band SAR Data
excl_i,(i) no radar-derived measurement in title/abstract,,2025,conference-paper,,10.1109/globecom59602.2025.11432346,LLM-ISAC: A Large Language Model Empowered Integrated Sensing and Communication System
excl_i,pre-marked from Sec. I-A corpus,wang2025radar,2025,article,Multidisciplinary Digital Publishing Institute,10.3390/technologies13070280,RADAR: Reasoning AI-Generated Image Detection for Semantic Fakes
excl_i,"(i) communication/network measurand, not a radar measurement",,2025,preprint,Cornell University,10.48550/arxiv.2506.05637,Joint User Association and Beamforming Design for ISAC Networks with Large Language Models
excl_i,(i) no radar-derived measurement in title/abstract,,2025,article,Institute of Electrical and Electronics Engineers,10.1109/access.2025.3550156,ISAC-Driven Software Development With Large Language Models: A Foundation for Enhanced Public Life Support
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,preprint,Cornell University,10.48550/arxiv.2512.14069,RADAR: Accelerate Large Language Model Inference With RL-Based Dynamic Draft Trees
excl_i,(i) acoustic-resonator device design; no radar measurement,,2025,conference-paper,,10.1109/ius62464.2025.11201527,Intelligent Prediction of EM Responses in mmWave Acoustic Resonators via Prompt-to-Structure Large Language Model and Regression Models
excl_i,(i) no radar-derived measurement in title/abstract,,2025,article,Institute of Electrical and Electronics Engineers,10.1109/comst.2025.3592989,Integrated Sensing and Edge AI: Realizing Intelligent Perception in 6G
excl_i,"(i) communication/network measurand, not a radar measurement",,2025,preprint,Cornell University,,CTMap: LLM-Enabled Connectivity-Aware Path Planning in Millimeter-Wave Digital Twin Networks
excl_i,"(i) communication/network measurand, not a radar measurement",,2025,preprint,Cornell University,10.48550/arxiv.2601.00110,CTMap: LLM-Enabled Connectivity-Aware Path Planning in Millimeter-Wave Digital Twin Networks
excl_i,(i) input is natural language alone; the system emits a configuration without consuming a radar measurement,,2025,conference-paper,,10.1109/dcas65331.2025.11045499,AI-Assisted Outcome Engineering for Mapping Natural Language to Radar Configuration Files
excl_i,(i) no radar-derived measurement in title/abstract,,2025,preprint,Cornell University,,Wireless Multimodal Foundation Model (WMFM): Integrating Vision and Communication Modalities for 6G ISAC Systems
excl_i,(i) no radar-derived measurement in title/abstract,,2025,preprint,Cornell University,10.48550/arxiv.2512.23897,Wireless Multimodal Foundation Model (WMFM): Integrating Vision and Communication Modalities for 6G ISAC Systems
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,conference-paper,,10.52202/085713-3699,RADAR: Benchmarking Language Models on Imperfect Tabular Data
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,preprint,,10.20944/preprints202509.2396.v1,RADAR: Mechanistic Pathways for Detecting Data Contamination in LLM Evaluation
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,preprint,Cornell University,10.48550/arxiv.2510.08931,RADAR: Mechanistic Pathways for Detecting Data Contamination in LLM Evaluation
excl_i,(i) no radar-derived measurement in title/abstract,,2025,conference-paper,,10.1109/jcs64661.2025.10880640,"Demonstration of a Continuously Updated, Radio-Compatible Digital Twin for Robotic Integrated Sensing and Communications"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,conference-paper,,10.1109/icca66035.2025.11430733,Expense Radar: An AI-Driven Budget Management System
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,preprint,Cornell University,10.48550/arxiv.2505.14318,RADAR: Enhancing Radiology Report Generation with Supplementary Knowledge Injection
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,conference-paper,Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR),,Insights into the automated delineation of glacier and iceshelf calving fronts and multi-sensor radar datasets
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,preprint,RELX Group (Netherlands),10.2139/ssrn.5253764,Multi-Modal Foundation Model for Generalizable Flood Mapping Using Sentinel-1 and Sentinel-2 Remote Sensing Imagery
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,preprint,,10.36227/techrxiv.176287415.57044116/v1,GENERATIVE AI FOR SAR-TO-OPTICAL IMAGE TRANSLATION: A SYSTEMATIC LITERATURE REVIEW (2021-2025)
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,preprint,Cornell University,10.48550/arxiv.2510.15895,BREATH: A Bio-Radar Embodied Agent for Tonal and Human-Aware Diffusion Music Generation
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2025,conference-paper,,10.1109/icicke65317.2025.11136558,"Multi-Modal Flood Detection and Validation: Integrating Sentinel-1 SAR, Deep Learning, and Named Entity Recognition for Enhanced Situational Awareness"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2024,conference-paper,,10.18653/v1/2024.fever-1.29,"RAGAR, Your Falsehood Radar: RAG-Augmented Reasoning for Political Fact-Checking using Multimodal Large Language Models"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2024,preprint,Cornell University,10.48550/arxiv.2404.12065,"RAGAR, Your Falsehood Radar: RAG-Augmented Reasoning for Political Fact-Checking using Multimodal Large Language Models"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2024,conference-paper,,10.1109/radar58436.2024.10993898,Radar Spectra-Language Model for Automotive Scene Parsing
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2024,article,Multidisciplinary Digital Publishing Institute,10.3390/w16121670,Vision Transformer for Flood Detection Using Satellite Images from Sentinel-1 and Sentinel-2
excl_i,(i) no radar-derived measurement in title/abstract,,2024,preprint,Cornell University,10.48550/arxiv.2410.05062,Large Language Model Based Multi-Objective Optimization for Integrated Sensing and Communications in UAV Networks
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2024,preprint,Cornell University,10.48550/arxiv.2406.02158,Radar Spectra-Language Model for Automotive Scene Parsing
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2023,preprint,Cornell University,10.48550/arxiv.2307.03838,RADAR: Robust AI-Text Detection via Adversarial Learning
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2023,conference-paper,,10.21428/594757db.b6f3c89e,Radar de Parité: An NLP system to measure gender representation in French news stories
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2023,preprint,Cornell University,10.48550/arxiv.2304.09982,Radar de Parité: An NLP system to measure gender representation in French news stories
excl_i,"(i) communication/network measurand, not a radar measurement",,2023,conference-paper,,10.1109/icce-taiwan58799.2023.10226834,Distributed Reinforcement Learning Based Adaptive Antenna Pattern Selection for Wireless Communication Networks
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2021,article,Multidisciplinary Digital Publishing Institute,10.3390/atmos12030313,"Multi-Radar Analysis of the 20 May 2013 Moore, Oklahoma Supercell through Tornadogenesis and Intensification"
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2021,article,,10.15488/11256,Feasibility Analysis of Entity Recognition as a Means to Create an Autonomous Technology Radar
excl_i,(i) not radar sensing: unrelated subject or acronym collision,,2020,article,Elsevier BV,10.1016/j.jcjq.2020.12.006,RADAR: A Closed-Loop Quality Improvement Initiative Leveraging A Safety Net Model for Incidental Pulmonary Nodule Management
excl_ii,(ii)+(iii) no language/vision-language backbone in title/abstract,,2026,article,Institute of Electrical and Electronics Engineers,10.1109/tip.2026.3652417,A Complex-Valued SAR Foundation Model Based on Physically Inspired Representation Learning
excl_ii,(ii) no cross-modal alignment or tokenization mechanism,,2026,article,,10.12000/jr25174,Knowledge Transfer Method for Vision-language Models for Processing Synthetic Aperture Radar Images
excl_ii,(ii)+(iii) no language/vision-language backbone in title/abstract,,2026,article,Multidisciplinary Digital Publishing Institute,10.3390/s26072096,Robust 3D Multi-Object Tracking via 4D mmWave Radar-Camera Fusion and Disparity-Domain Depth Recovery
excl_ii,(ii) survey or review; proposes no alignment mechanism,,2026,article,,10.12000/jr25256,SAR Image Target Interpretation Based on Vision-language Model: A Survey
excl_ii,(ii)+(iii) no language/vision-language backbone in title/abstract,,2026,conference-paper,,10.1109/iv66570.2026.11623924,Structural Knowledge Distillation for Aligning 4D Radar with Vision–Language Models
excl_ii,(ii) no cross-modal alignment or tokenization mechanism,,2026,article,IEEE Sensors Council,10.1109/jsen.2026.3692542,Camera–Radar Data-Based Vision Language Model for Automotive Driving Scene Description
excl_ii,(ii)+(iii) encoder-only foundation model; no language backbone,,2026,article,Elsevier BV,10.1016/j.isprsjprs.2026.02.018,Quantitative comparison of fine-tuning techniques for pretrained latent diffusion models in the generation of unseen SAR images
excl_ii,(ii) no cross-modal alignment or tokenization mechanism,,2026,conference-paper,,10.1145/3772318.3790631,FeelWave: Enabling Emotion-Aware Voice Interaction through Noise-Robust mmWave Emotion Sensing
excl_ii,"not assessable: no abstract indexed and full text not retrieved, so (ii)-(iii) cannot be verified",,2026,conference-paper,,10.1109/icassp55912.2026.11463158,LLM4RIM: Leveraging Large Language Model for Radar-Based in-Vehicle Monitoring
excl_ii,(ii)+(iii) no language/vision-language backbone in title/abstract,,2026,conference-paper,,10.1109/dlcv69906.2026.11635671,STAR-GPT2: Semantic Prompt-based Radar Target Recognition with Large Language Models
excl_ii,(ii)+(iii) no language/vision-language backbone in title/abstract,,2026,article,Institute of Electrical and Electronics Engineers,10.1109/trs.2026.3654128,Unsupervised Federated Learning With Harmonized Foundation Models for FMCW Radar-Based Hand Gesture Recognition
excl_ii,(ii) no cross-modal alignment or tokenization mechanism,,2026,preprint,Cornell University,10.48550/arxiv.2606.28396,RadarTwin: Scene-Specific mmWave Radar Simulation and Learning for Mobile Indoor Perception
excl_ii,(ii) no cross-modal alignment or tokenization mechanism,,2026,preprint,Cornell University,,RadarTwin: Scene-Specific mmWave Radar Simulation and Learning for Mobile Indoor Perception
